全宋诗：高
　　高文虎　集高亭
　　高文虎　瑞香花
　　高文虎　水仙
　　高文虎　送台倅赵叔明趋朝
　　高文虎　酴醾花
　　高文虎　谢人海棠
　　高文虎　雪馆山茶
　　高文虎　种菊
　高晞远　心远堂
　高袭明　瀛岩
　高献民　题九仙宫
　高翔　题韩干马
　高孝璹
　　高孝璹　题临安西湖
　　高孝璹　题王文公祠
　高诩　谒阙里
　高选
　　高选　瑞安县咏怀
　　高选　太息
　　高选　题家信后
　高言　干友人诗
　高彦竹
　　高彦竹　寒夜
　　高彦竹　送胡彦龙过金陵
　高尧辅　句
　高颐
　　高颐　定泉井
　　高颐　支提禅寺
　高应乾　白鹤梁观石鱼
　高予文　讲教洞
　高元矩　句
　高元之
　　高元之　长汀即事
　　高元之　大小晦山
　　高元之　句
　　高元之　题雪窦飞雪亭
　　高元之　小晦岭
　　高元之　雪窦寺
　高载　句
　高照　金精山
　高之美　句
　高质斋
　　高质斋　复和呈莫仲篪
　　高质斋　纪兴
　　高质斋　秋日溪亭
　　高质斋　田园偶兴
　　高质斋　溪石呈李思道
　高竹鹤　题友人山居
　高翥
　　高翥　八月旦日永定寺作
　　高翥　拜李谪仙墓
　　高翥　拜林和靖墓
　　高翥　拜尹和靖先生墓
　　高翥　卜居
　　高翥　采石
　　高翥　曹娥浦泊舟
　　高翥　昌国县普济寺小亭
　　高翥　常熟县破山寺
　　高翥　崇圣寺斌公房
　　高翥　初闻雷声
　　高翥　船户
　　高翥　春寒
　　高翥　春怀
　　高翥　春霁
　　高翥　春情四首
　　高翥　春日北山二首
　　高翥　春日湖上
　　高翥　春日即事
　　高翥　春日杂兴二首
　　高翥　春夜
　　高翥　登九华楼
　　高翥　丁卯冬送方岩
　　高翥　冬日即事
　　高翥　冬日书怀用正甫韵
　　高翥　度仙霞岭
　　高翥　渡钱塘
　　高翥　多景楼
　　高翥　蛾眉亭
　　高翥　访铦朴翁不遇二首
　　高翥　访诸葛练师不遇
　　高翥　富阳县秋日
　　高翥　感春
　　高翥　感怀二首
　　高翥　恭跋思陵宕翰拓本卷后
　　高翥　孤山雪后
　　高翥　古庙
　　高翥　古寺
　　高翥　归来
　　高翥　归寓舍
　　高翥　过方孚若寺丞故庐
　　高翥　过临平
　　高翥　贺杨东山休致
　　高翥　虎丘寺
　　高翥　怀安王宰索得助诗奉题一首
　　高翥　黄居士山房
　　高翥　即事
　　高翥　蕺山登高
　　高翥　蕺山戒珠寺寺王右军故居也
　　高翥　寂上人禅房
　　高翥　寄方岩
　　高翥　寄林徽君
　　高翥　寄王仲彝仲彝留三衢久不归省因又箴之
　　高翥　建昌道上
　　高翥　涧傍菊花
　　高翥　江居晓咏
　　高翥　焦山
　　高翥　荆棘中见梅花
　　高翥　静对
　　高翥　菊花
　　高翥　句
　　高翥　聚景园口号二首
　　高翥　看弄潮回
　　高翥　客枕
　　高翥　兰亭
　　高翥　老将
　　高翥　李将
　　高翥　莲实
　　高翥　灵鹫寺
　　高翥　灵岩寺
　　高翥　凌歳台
　　高翥　隆兴借东湖驿度夏杂题
　　高翥　庐山道中
　　高翥　门径
　　高翥　破屋
